"filename", "language", "C", "Makefile", "Markdown", "CSV", "C++", "YAML", "comment", "blank", "total"
"f:\workspace\L&T Work\lntassignments\Colored_box\3_implementation\Makefile", "Makefile", 0, 0, 0, 0, 0, 0, 0, 1, 1
"f:\workspace\L&T Work\lntassignments\Colored_box\3_implementation\inc\prototypes.h", "C++", 0, 0, 0, 0, 46, 0, 72, 23, 141
"f:\workspace\L&T Work\lntassignments\Colored_box\3_implementation\main.c", "C", 18, 0, 0, 0, 0, 0, 1, 9, 28
"f:\workspace\L&T Work\lntassignments\Colored_box\3_implementation\src\avg_volume.c", "C", 23, 0, 0, 0, 0, 0, 0, 7, 30
"f:\workspace\L&T Work\lntassignments\Colored_box\3_implementation\src\count_by_color.c", "C", 20, 0, 0, 0, 0, 0, 0, 5, 25
"f:\workspace\L&T Work\lntassignments\Colored_box\3_implementation\src\create_ll.c", "C", 27, 0, 0, 0, 0, 0, 0, 7, 34
"f:\workspace\L&T Work\lntassignments\Colored_box\3_implementation\src\delete_box.c", "C", 17, 0, 0, 0, 0, 0, 0, 3, 20
"f:\workspace\L&T Work\lntassignments\Colored_box\3_implementation\src\display_ll.c", "C", 22, 0, 0, 0, 0, 0, 0, 5, 27
"f:\workspace\L&T Work\lntassignments\Colored_box\3_implementation\src\find_by_id.c", "C", 0, 0, 0, 0, 0, 0, 0, 1, 1
"f:\workspace\L&T Work\lntassignments\Colored_box\3_implementation\src\find_max_height.c", "C", 0, 0, 0, 0, 0, 0, 0, 1, 1
"f:\workspace\L&T Work\lntassignments\Colored_box\3_implementation\src\insert_end.c", "C", 30, 0, 0, 0, 0, 0, 0, 6, 36
"f:\workspace\L&T Work\lntassignments\Colored_box\3_implementation\src\min_max_v_diff.c", "C", 0, 0, 0, 0, 0, 0, 0, 1, 1
"f:\workspace\L&T Work\lntassignments\Colored_box\3_implementation\src\update_weight.c", "C", 0, 0, 0, 0, 0, 0, 0, 1, 1
"f:\workspace\L&T Work\lntassignments\Colored_box\README.md", "Markdown", 0, 0, 28, 0, 0, 0, 0, 2, 30
"f:\workspace\L&T Work\lntassignments\Questions_2a\README.md", "Markdown", 0, 0, 43, 0, 0, 0, 0, 9, 52
"f:\workspace\L&T Work\lntassignments\Questions_2a\data.csv", "CSV", 0, 0, 0, 3, 0, 0, 0, 1, 4
"f:\workspace\L&T Work\lntassignments\Questions_2a\inc\prototypes.h", "C++", 0, 0, 0, 0, 17, 0, 38, 9, 64
"f:\workspace\L&T Work\lntassignments\Questions_2a\main.c", "C", 37, 0, 0, 0, 0, 0, 4, 18, 59
"f:\workspace\L&T Work\lntassignments\Questions_2a\read_csv.c", "C", 240, 0, 0, 0, 0, 0, 0, 3, 243
"f:\workspace\L&T Work\lntassignments\Questions_2a\src\freeFile.c", "C", 4, 0, 0, 0, 0, 0, 0, 1, 5
